Designator,Footprint,Quantity,Value,LCSC Part #
"+, XT-30_VERT1, XT-30_VERT3",XT-30_VERT,3,~,
100,1206,1,100 nF,
"10K, 1K",1206,2,10k,
"1K_5, 1K_4, 1K_3, 1K_2",1206,4,1k,
5V/12V_BEC1,BEC_5V_12V,1,~,
<- ACCELEROMETER,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DSV320XTR,
D1,D_SMB,1,D_TVS,
"D2, D3",D_SOD-523,2,D_TVS,
D4,D_SOD-523,1,D_LED_1,
D5,D_SOD-523,1,D_LED_2,
"ESC1, ESC2",ESC-PWM-Connection,2,~,
FINGERTECH_SWITCH1,Fingertech_Switch,1,~,
J1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,LED_STRIPS,
J2,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Aux_SPI,
J3,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,I2C_Connector,
J4,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Excess_GPIOs,
RECEIVER,BetaFPV ELRS Lite,1,~,
SEEED_STUDIO_ESP32-S3_PLUS1,MOUDLE23P-SMD-2.54-21X17.8MM.kicad_mod.kicad_sym,1,XIAO-HALF-HOLE-23P,
"U1, U2, U3, U4, U5, U6",Generic_SMD_THT,6,~,
