Designator,Mid X,Mid Y,Rotation,Layer
+,91.7702,-115.0358,90.0,top
100,96.925,-88.475,0.0,bottom
10K,103.825,-78.125,0.0,bottom
1K_5,93.9732,-108.1488,180.0,bottom
1K_4,110.6852,-80.384,0.0,bottom
1K_3,93.9732,-105.3338,180.0,bottom
1K_2,112.025,-84.325,270.0,bottom
1K,102.3,-89.05,180.0,bottom
5V/12V_BEC1,109.4,-99.75,90.0,top
<- ACCELEROMETER,102.8675,-73.6575,180.0,bottom
D1,103.7,-108.1,200.0,bottom
D2,97.725,-105.3388,180.0,bottom
D3,97.725,-108.175,180.0,bottom
D4,109.3,-82.775,0.0,bottom
D5,110.6852,-78.225,0.0,bottom
ESC1,90.29,-105.320466,0.0,top
ESC2,90.29,-108.145466,0.0,top
FINGERTECH_SWITCH1,102.7992,-115.77545,0.0,top
J1,117.0602,-85.852,270.0,top
J2,113.2,-75.025,0.0,top
J3,117.0602,-113.1062,270.0,top
J4,117.0602,-99.4664,270.0,top
RECEIVER,92.9,-76.45,0.0,top
SEEED_STUDIO_ESP32-S3_PLUS1,101.02,-94.0562,180.0,top
U1,117.94,-92.8474,0.0,bottom
U2,93.775,-105.625,0.0,top
U3,117.94,-79.2374,0.0,bottom
U4,117.95,-106.075,0.0,bottom
U5,93.775,-108.15,0.0,top
U6,117.95,-119.7,0.0,bottom
XT-30_VERT1,96.680002,-115.035796,90.0,top
XT-30_VERT3,110.3,-114.8858,90.0,top
